date,position,title,artist,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
2018-04-27,1,ONE KISS,CALVIN HARRIS & DUA LIPA,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,happy
2018-04-27,2,NO TEARS LEFT TO CRY,ARIANA GRANDE,USUM71805289,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,agitated
2018-04-27,3,NICE FOR WHAT,DRAKE,USCM51800077,0.0891,0.585,210747,0.909,9.7e-05,8,0.119,-6.474,1,0.0707,93.372,4,0.758,happy
2018-04-27,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,QMRSZ1800283,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755,happy
2018-04-27,5,PARADISE,GEORGE EZRA,GBARL1701373,0.209,0.642,222045,0.881,0.0,11,0.21,-3.537,1,0.0393,138.03,4,0.913,happy
2018-04-27,6,LULLABY,SIGALA & PALOMA FAITH,GBCEN1700257,0.0784,0.725,204022,0.834,1.27e-05,5,0.0834,-3.913,0,0.037,120.026,4,0.859,happy
2018-04-27,7,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,GBAYE1800222,0.0387,0.67,190921,0.834,0.0,1,0.454,-3.928,0,0.0886,113.019,4,0.454,agitated
2018-04-27,8,2002,ANNE-MARIE,GBAHS1800094,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603,happy
2018-04-27,9,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,USUM71800463,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437,agitated
2018-04-27,10,PSYCHO,POST MALONE FT TY DOLLA SIGN,USUM71710836,0.546,0.75,221440,0.56,0.0,8,0.111,-8.094,1,0.105,140.06,4,0.459,agitated
2018-04-27,11,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,USWB11701186,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579,happy
2018-04-27,12,LOVE LIES,KHALID & NORMANI,USRC11703646,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338,agitated
2018-04-27,13,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,USAT21704622,0.00583,0.284,234707,0.704,0.000115,2,0.0424,-7.276,1,0.186,191.702,4,0.1,agitated
2018-04-27,14,JUMANJI,B YOUNG,TCADI1763759,0.279,0.791,173154,0.473,0.0,10,0.0959,-9.86,0,0.25,95.948,4,0.603,calm
2018-04-27,15,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,GBAHS1701239,0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55,happy
2018-04-27,16,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,USRC11703503,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372,agitated
2018-04-27,17,KOD,J COLE,QMJMT1801607,0.236,0.828,191437,0.783,0.0,0,0.108,-6.321,1,0.171,141.868,4,0.178,agitated
2018-04-27,18,IN MY BLOOD,SHAWN MENDES,USUM71803183,0.0573,0.622,211360,0.712,0.0,5,0.13,-7.321,1,0.066,140.025,4,0.487,agitated
2018-04-27,19,CALL OUT MY NAME,WEEKND,USUG11800560,0.17,0.461,228373,0.593,0.0,1,0.307,-4.954,1,0.0356,134.17,3,0.175,agitated
2018-04-27,20,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,USAT21801431,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65,happy
2018-04-27,21,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,GBUM71706433,0.178,0.813,214253,0.701,0.0,10,0.0962,-4.428,1,0.045,110.006,4,0.758,happy
2018-04-27,22,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,GBUM71800437,0.006,0.793,199945,0.824,3.29e-06,2,0.169,-3.476,1,0.177,98.019,4,0.611,happy
2018-04-27,23,GOD'S PLAN,DRAKE,USCM51800004,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,sad
2018-04-27,24,GERMAN,EO,GBARL1800469,0.811,0.862,170825,0.583,1.86e-05,8,0.191,-6.26,0,0.0654,103.019,4,0.852,happy
2018-04-27,25,FRIENDS,MARSHMELLO & ANNE-MARIE,GBAHS1800025,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,happy
2018-04-27,26,WAKE ME UP,AVICII,SEUM71301326,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,0.643,happy
2018-04-27,27,FEEL IT STILL,PORTUGAL THE MAN,USAT21700437,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754,happy
2018-04-27,28,ATM,J COLE,QMJMT1801610,0.0995,0.772,216706,0.494,0.0,8,0.0733,-7.796,1,0.678,81.831,4,0.353,sad
2018-04-27,29,LOOK ALIVE,BLOCBOY JB FT DRAKE,USWB11800211,0.00108,0.918,181415,0.58,6.12e-05,10,0.106,-7.501,1,0.322,139.977,4,0.611,happy
2018-04-27,30,PHOTOGRAPH,J COLE,QMJMT1801608,0.0325,0.699,217841,0.476,0.0,1,0.0985,-6.502,1,0.282,104.926,3,0.366,sad
2018-04-27,31,VROOM,YXNG BANE,GB7TP1700091,0.0388,0.653,221538,0.573,0.0,11,0.0687,-6.744,0,0.0852,141.18,5,0.348,agitated
2018-04-27,32,LIKE I DO,GUETTA/GARRIX/BROOKS,GB28K1820005,0.00664,0.635,202500,0.9,0.0145,0,0.37,-3.719,0,0.0377,127.978,4,0.15,agitated
2018-04-27,33,FLAMES,DAVID GUETTA FT SIA,GB28K1800015,0.0678,0.604,245040,0.788,0.153,0,0.127,-3.673,0,0.103,126.06,4,0.301,agitated
2018-04-27,34,FAMILIAR,LIAM PAYNE & J BALVIN,GBUM71800362,0.0161,0.636,196552,0.805,0.0,9,0.0793,-4.594,1,0.327,92.958,4,0.908,happy
2018-04-27,35,BE CAREFUL,CARDI B,USAT21801270,0.0256,0.82,210787,0.568,0.0,6,0.0952,-8.23,0,0.411,152.279,4,0.535,happy
2018-04-27,36,LEVELS,AVICII,SEUM71100962,0.0462,0.584,199907,0.889,0.828,1,0.309,-5.941,0,0.0343,126.04,4,0.464,agitated
2018-04-27,37,LET ME,ZAYN,USRC11800871,0.239,0.46,185373,0.566,5.96e-06,9,0.0967,-5.637,1,0.0502,168.408,4,0.189,agitated
2018-04-27,38,IDGAF,DUA LIPA,GBAHT1600301,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51,happy
2018-04-27,39,SAD,XXXTENTACION,USUG11800208,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473,agitated
2018-04-27,40,I SEE YOU SHINING,NINES,GBBKS1800047,0.189,0.533,165747,0.806,1.78e-06,1,0.126,-6.243,0,0.3,137.029,5,0.522,happy
2018-05-04,1,ONE KISS,CALVIN HARRIS & DUA LIPA,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,happy
2018-05-04,2,NO TEARS LEFT TO CRY,ARIANA GRANDE,USUM71805289,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,agitated
2018-05-04,3,NICE FOR WHAT,DRAKE,USCM51800077,0.0891,0.585,210747,0.909,9.7e-05,8,0.119,-6.474,1,0.0707,93.372,4,0.758,happy
2018-05-04,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,QMRSZ1800283,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755,happy
2018-05-04,5,2002,ANNE-MARIE,GBAHS1800094,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603,happy
2018-05-04,6,PSYCHO,POST MALONE FT TY DOLLA SIGN,USUM71710836,0.546,0.75,221440,0.56,0.0,8,0.111,-8.094,1,0.105,140.06,4,0.459,agitated
2018-05-04,7,PARADISE,GEORGE EZRA,GBARL1701373,0.209,0.642,222045,0.881,0.0,11,0.21,-3.537,1,0.0393,138.03,4,0.913,happy
2018-05-04,8,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,GBAYE1800222,0.0387,0.67,190921,0.834,0.0,1,0.454,-3.928,0,0.0886,113.019,4,0.454,agitated
2018-05-04,9,BETTER NOW,POST MALONE,USUM71805184,0.328,0.683,231261,0.567,0.0,10,0.135,-5.815,1,0.0499,145.033,4,0.332,agitated
2018-05-04,10,LULLABY,SIGALA & PALOMA FAITH,GBCEN1700257,0.0784,0.725,204022,0.834,1.27e-05,5,0.0834,-3.913,0,0.037,120.026,4,0.859,happy
2018-05-04,11,PARANOID,POST MALONE,USUM71710835,0.038,0.625,221787,0.536,2.31e-05,0,0.167,-5.428,1,0.0776,159.914,4,0.253,agitated
2018-05-04,12,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,USWB11701186,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579,happy
2018-05-04,13,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,USUM71800463,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437,agitated
2018-05-04,14,LOVE LIES,KHALID & NORMANI,USRC11703646,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338,agitated
2018-05-04,15,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,USAT21801431,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65,happy
2018-05-04,16,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,GBAHS1701239,0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55,happy
2018-05-04,17,CALL OUT MY NAME,WEEKND,USUG11800560,0.17,0.461,228373,0.593,0.0,1,0.307,-4.954,1,0.0356,134.17,3,0.175,agitated
2018-05-04,18,GERMAN,EO,GBARL1800469,0.811,0.862,170825,0.583,1.86e-05,8,0.191,-6.26,0,0.0654,103.019,4,0.852,happy
2018-05-04,19,FLAMES,DAVID GUETTA FT SIA,GB28K1800015,0.0678,0.604,245040,0.788,0.153,0,0.127,-3.673,0,0.103,126.06,4,0.301,agitated
2018-05-04,20,IN MY BLOOD,SHAWN MENDES,USUM71803183,0.0573,0.622,211360,0.712,0.0,5,0.13,-7.321,1,0.066,140.025,4,0.487,agitated
2018-05-04,21,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,USRC11703503,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372,agitated
2018-05-04,22,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,GBUM71706433,0.178,0.813,214253,0.701,0.0,10,0.0962,-4.428,1,0.045,110.006,4,0.758,happy
2018-05-04,23,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,USAT21704622,0.00583,0.284,234707,0.704,0.000115,2,0.0424,-7.276,1,0.186,191.702,4,0.1,agitated
2018-05-04,24,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,GBUM71800437,0.006,0.793,199945,0.824,3.29e-06,2,0.169,-3.476,1,0.177,98.019,4,0.611,happy
2018-05-04,25,FRIENDS,MARSHMELLO & ANNE-MARIE,GBAHS1800025,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,happy
2018-05-04,26,GOD'S PLAN,DRAKE,USCM51800004,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357,sad
2018-05-04,27,FEEL IT STILL,PORTUGAL THE MAN,USAT21700437,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754,happy
2018-05-04,28,MAKE YOUR OWN KIND OF MUSIC,PALOMA FAITH,GBARL1702291,0.00862,0.567,163840,0.753,0.00183,4,0.127,-4.823,1,0.0406,120.098,4,0.566,happy
2018-05-04,29,LIKE I DO,GUETTA/GARRIX/BROOKS,GB28K1820005,0.00664,0.635,202500,0.9,0.0145,0,0.37,-3.719,0,0.0377,127.978,4,0.15,agitated
2018-05-04,30,LOOK ALIVE,BLOCBOY JB FT DRAKE,USWB11800211,0.00108,0.918,181415,0.58,6.12e-05,10,0.106,-7.501,1,0.322,139.977,4,0.611,happy
2018-05-04,31,FAMILIAR,LIAM PAYNE & J BALVIN,GBUM71800362,0.0161,0.636,196552,0.805,0.0,9,0.0793,-4.594,1,0.327,92.958,4,0.908,happy
2018-05-04,32,VROOM,YXNG BANE,GB7TP1700091,0.0388,0.653,221538,0.573,0.0,11,0.0687,-6.744,0,0.0852,141.18,5,0.348,agitated
2018-05-04,33,WAKE ME UP,AVICII,SEUM71301326,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,0.643,happy
2018-05-04,34,BE CAREFUL,CARDI B,USAT21801270,0.0256,0.82,210787,0.568,0.0,6,0.0952,-8.23,0,0.411,152.279,4,0.535,happy
2018-05-04,35,LET ME,ZAYN,USRC11800871,0.239,0.46,185373,0.566,5.96e-06,9,0.0967,-5.637,1,0.0502,168.408,4,0.189,agitated
2018-05-04,36,IDGAF,DUA LIPA,GBAHT1600301,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51,happy
2018-05-04,37,KOD,J COLE,QMJMT1801607,0.236,0.828,191437,0.783,0.0,0,0.108,-6.321,1,0.171,141.868,4,0.178,agitated
2018-05-04,38,A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS,USAT21704617,0.243,0.265,269453,0.312,0.0,7,0.0893,-11.689,1,0.0569,54.747,3,0.0998,sad
2018-05-04,39,SAD,XXXTENTACION,USUG11800208,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473,agitated
2018-05-04,40,NEVER ENOUGH,LOREN ALLRED,USAT21704621,0.423,0.277,207787,0.394,0.0,8,0.0952,-8.903,1,0.0336,86.777,3,0.227,sad
2018-05-11,1,ONE KISS,CALVIN HARRIS & DUA LIPA,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,happy
2018-05-11,2,NICE FOR WHAT,DRAKE,USCM51800077,0.0891,0.585,210747,0.909,9.7e-05,8,0.119,-6.474,1,0.0707,93.372,4,0.758,happy
2018-05-11,3,NO TEARS LEFT TO CRY,ARIANA GRANDE,USUM71805289,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354,agitated
2018-05-11,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,QMRSZ1800283,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755,happy
