,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
19,2018-04-27,20,I LIKE IT,USAT21801431,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
20,2018-04-27,21,BAD VIBE,GBUM71706433,0.178,0.813,214253,0.701,0.0,10,0.0962,-4.428,1,0.045,110.006,4,0.758
21,2018-04-27,22,MAD LOVE,GBUM71800437,0.006,0.793,199945,0.824,3.29e-06,2,0.169,-3.476,1,0.177,98.019,4,0.611
22,2018-04-27,23,GOD'S PLAN,USCM51800004,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
23,2018-04-27,24,GERMAN,GBARL1800469,0.811,0.862,170825,0.583,1.86e-05,8,0.191,-6.26,0,0.0654,103.019,4,0.852
24,2018-04-27,25,FRIENDS,GBAHS1800025,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534
25,2018-04-27,26,WAKE ME UP,SEUM71301326,0.0038,0.532,247427,0.783,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,0.643
26,2018-04-27,27,FEEL IT STILL,USAT21700437,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754
27,2018-04-27,28,ATM,QMJMT1801610,0.0995,0.772,216706,0.494,0.0,8,0.0733,-7.796,1,0.678,81.831,4,0.353
28,2018-04-27,29,LOOK ALIVE,USWB11800211,0.00108,0.918,181415,0.58,6.12e-05,10,0.106,-7.501,1,0.322,139.977,4,0.611
29,2018-04-27,30,PHOTOGRAPH,QMJMT1801608,0.0325,0.699,217841,0.476,0.0,1,0.0985,-6.502,1,0.282,104.926,3,0.366
30,2018-04-27,31,VROOM,GB7TP1700091,0.0388,0.653,221538,0.573,0.0,11,0.0687,-6.744,0,0.0852,141.18,5,0.348
31,2018-04-27,32,LIKE I DO,GB28K1820005,0.00664,0.635,202500,0.9,0.0145,0,0.37,-3.719,0,0.0377,127.978,4,0.15
32,2018-04-27,33,FLAMES,GB28K1800015,0.0678,0.604,245040,0.788,0.153,0,0.127,-3.673,0,0.103,126.06,4,0.301
33,2018-04-27,34,FAMILIAR,GBUM71800362,0.0161,0.636,196552,0.805,0.0,9,0.0793,-4.594,1,0.327,92.958,4,0.908
34,2018-04-27,35,BE CAREFUL,USAT21801270,0.0256,0.82,210787,0.568,0.0,6,0.0952,-8.23,0,0.411,152.279,4,0.535
35,2018-04-27,36,LEVELS,SEUM71100962,0.0462,0.584,199907,0.889,0.828,1,0.309,-5.941,0,0.0343,126.04,4,0.464
36,2018-04-27,37,LET ME,USRC11800871,0.239,0.46,185373,0.566,5.96e-06,9,0.0967,-5.637,1,0.0502,168.408,4,0.189
37,2018-04-27,38,IDGAF,GBAHT1600301,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,4,0.51
