isrc,artist,artist_id,track_name,track_spotify_id
USUG12301406,TAYLOR SWIFT,06HL4z0CvFAxyc27GXpf02,ALL OF THE GIRLS YOU LOVED BEFORE,4P9Q0GojKVXpRTJCaL3kyy
USUG12205721,TAYLOR SWIFT FT LANA DEL REY,06HL4z0CvFAxyc27GXpf02,SNOW ON THE BEACH,3A6QF5UMok0qq7gLKAmT9g
ZZOPM2002677,ABRA CADABRA,1ZHk8dteZz6Vi2HFp4hGoM,ON DECK,34YkG2pMNOldalZtevHztN
USRC11901655,NORMANI,2cWZOOzeOm4WmBJRnD5R7I,MOTIVATION,0rIAC4PXANcKmitJfoqmVm
GBHMU2000062,LITTLE MIX,3e7awlrlDSwF3iM0WBjGMp,SWEET MELODY,76Tuo484SLohJakHLnGI3B
GBUM71900909,JONAS BLUE FT THERESA REX,1HBjj22wzbscIZ9sEb5dyf,WHAT I LIKE ABOUT YOU,3RvF3ebRqGth20c248CZpo
GBAHS2001086,JESS GLYNNE,4ScCswdRlyA23odg9thgIO,THIS CHRISTMAS,1i1rNVtxbE7rdFfpHuNq2j
USUG12208791,METRO BOOMIN/WEEKND/21 SAVAGE,0iEtIxbK0KxaSlF7G42ZOp,CREEPIN',2dHHgzDwk4BJdRwy9uXhTO
GBUM71801867,JAMES/KEENAN WYNN/DAVIES/IMRIE,7gWjOPetXNCBqlVe6axl8K,WHEN I KISSED THE TEACHER,1WOBzx0R3hyphrI1AUv4Zu
GBAHS1800322,JESS GLYNNE,4ScCswdRlyA23odg9thgIO,I'LL BE THERE,4r1CoAATVuxag55Ct3Y1aX
GBUM71905291,KREPT & KONAN/WIZKID,31lnFZEM6ysvjOx59VyxRE,G LOVE,1i1JBDWZ2p1jftF1tjKPg2
GBAKX2000012,SLOWTHAI FT SKEPTA,3r1XkJ7vCs8kHBSzGvPLdP,CANCELLED,70He9Bb1JohHQXq4XAavQD
USA2P2212455,BTS,3Nrfpe0tUJi4K4DXYWgMUX,YET TO COME,4ncTUgTfUV3wrjTPzKvn01
QMJMT2204480,RIHANNA,5pKCCKE2ajJHZ9KAiaK11H,LIFT ME UP,35ovElsgyAtQwYPYnZJECg
UKWLG2100072,DAVID GUETTA/MISTAJAM/NEWMAN,1Cs0zKBU1kc0i8ypK3B9ai,IF YOU REALLY LOVE ME (HOW WILL I KNOW),1V7bZ9gEIwFQpm8yGxRHNA
GBAHS2201004,KSI FT TOM GRENNAN,1nzgtKYFckznkcVMR3Gg4z,NOT OVER YET,3t2Hx5FPih5lKaxJFd6bRE
USUG12002836,TAYLOR SWIFT,06HL4z0CvFAxyc27GXpf02,CARDIGAN,4R2kfaDFhslZEMJqAFNpdd
GBUM71901153,RUSS SPLASH/DIGGA D,57n1OF36WvtOeATY6WQ6iw,MR SHEEEN,5AiRANsO9d93VQh4jaumuM
USRC12101532,DOJA CAT,5cj0lLjcoR7YOSnhnX0Po5,WOMAN,6Uj1ctrBOjOas8xZXGqKk4
USAT21801174,PANIC AT THE DISCO,20JZFwl6HVl6yg8a4H3ZqK,HIGH HOPES,1rqqCSm0Qe4I9rUvWncaom
GBARL2000986,CALVIN HARRIS & WEEKND,7CajNmpbOovFoOoasH2HaY,OVER NOW,58AGoOGbwsQMhBbH0eFLRR
GBAHS2200261,NATHAN DAWE FT ELLA HENDERSON,2gduEC76ry33RVurAvT05p,21 REASONS,1RF02Cf80mTaeNXG2P2boR
USAT21600856,LIZZO,56oDRnqbIiwx4mymNEv7dS,GOOD AS HELL,6KgBpzTuTRPebChN0VTyzV
USUM72003024,DEMI LOVATO,6S2OmqARrzebs0tKUEyXyp,I LOVE ME,2IHLaN6wwYKQ3S24NsQqpA
UK4ZF2100524,JOEL CORRY/JAX JONES/XCX,6DgP9otnZw5z6daOntINxp,OUT OUT,4DCVcs0sQAP2KVWk4hsU22
USUM71710835,POST MALONE,246dkjvS1zLTtiykXe5h60,PARANOID,3fpVWegR6YOS1Yk5HSMYIq
USUG11901473,TAYLOR SWIFT,06HL4z0CvFAxyc27GXpf02,LOVER,1dGr1c8CrMLDpV6mPbImSI
GBUM71900660,WESTLIFE,5Z1CCuBsyhEHngq3U5IraY,BETTER MAN,5OTsspiqZPQPPuouZtjykB
QZJ842000983,TRIPPIE REDD FT PLAYBOI CARTI,6Xgp2XMz1fhVYe7i6yNAax,MISS THE RAGE,2BITQ360Knh6qNAOqR7Dyq
CYA111900301,TIESTO & MABEL,2o5jDhtHVPhrJdv3cEQ99Z,GOD IS A DANCER,6fenHIxXuuzKB55wY4WCHP
GB1102200463,GEORGE EZRA,2ysnwxxNtSgbb9t1m2Ur4j,GREEN GREEN GRASS,4N5s8lPTsjI9EGP7K4SXzB
USQX91803314,GESAFFELSTEIN FT WEEKND,3hteYQFiMFbJY7wS0xDymP,LOST IN THE FIRE,2vXKRlJBXyOcvZYTdNeckS
GBAHS1901479,STORMZY,2SrSdSvpminqmStGELCSNd,LESSONS,5iVGN1Th2DqyWVNIBM8Vwk
UKQNW2000003,AJ TRACEY & MABEL,4Xi6LSfFqv26XgP9NKN26U,WEST TEN,1kNUlYIquh3WpllRoTCRJR
GBUM71902381,SAM SMITH,2wY79sveU1sp5g7SokKOiI,HOW DO YOU SLEEP,6b2RcmUt1g9N9mQ3CbjX2Y
GB7TP1900216,POUNDZ,2jItxZsB8PA3vday7b0RLT,OPP THOT,76Kqs3pV1tiGhxmAIcCkRU
